025-02-01 16:51:58,601 - picamera2.request - INFO - Time taken for encode: 3.324467000311415 ms.
2025-02-01 16:53:48,061 - __main__ - INFO - Image captured successfully
2025-02-01 16:53:48,062 - werkzeug - INFO - 192.168.1.143 - - [01/Feb/2025 16:53:48] "GET /capture HTTP/1.1" 200 -
2025-02-01 16:53:49,052 - __main__ - ERROR - Error getting status: 'Picamera2' object has no attribute 'get_status'
2025-02-01 16:53:49,053 - werkzeug - INFO - 192.168.1.143 - - [01/Feb/2025 16:53:49] "GET /status HTTP/1.1" 500 -
2025-02-01 16:53:53,073 - __main__ - INFO - Attempting to capture image
2025-02-01 16:53:53,099 - picamera2.request - INFO - Saved <picamera2.request.Helpers object at 0x7fff721cb110> to file static/images/latest_20250201-165353.jpg.
2025-02-01 16:53:53,099 - picamera2.request - INFO - Time taken for encode: 7.152338000196323 ms.
2025-02-01 16:53:53,100 - __main__ - INFO - Successfully captured image to static/images/latest_20250201-165353.jpg
2025-02-01 16:53:53,100 - __main__ - INFO - Image captured successfully
2025-02-01 16:53:53,101 - werkzeug - INFO - 192.168.1.143 - - [01/Feb/2025 16:53:53] "GET /capture HTTP/1.1" 200 -
2025-02-01 16:53:54,048 - __main__ - ERROR - Error getting status: 'Picamera2' object has no attribute 'get_status'
2025-02-01 16:53:54,049 - werkzeug - INFO - 192.168.1.143 - - [01/Feb/2025 16:53:54] "GET /status HTTP/1.1" 500 -
2025-02-01 16:53:59,050 - __main__ - ERROR - Error getting status: 'Picamera2' object has no attribute 'get_status'
2025-02-01 16:53:59,051 - werkzeug - INFO - 192.168.1.143 - - [01/Feb/2025 16:53:59] "GET /status HTTP/1.1" 500 -
2025-02-01 16:54:04,052 - __main__ - ERROR - Error getting status: 'Picamera2' object has no attribute 'get_sta
